img,z,conf
1692846889.941271,0.781,0.4518
1692846889.973360,0.781,0.3947
1692846890.005506,0.781,0.5673
1692846890.041215,0.781,0.3618
1692846890.073256,0.781,0.4404
1692846890.105306,0.961,0.4076
1692846890.141053,0.961,0.4546
1692846890.173341,0.961,0.4237
1692846890.205243,0.961,0.3576
1692846890.241255,0.961,0.4532
1692846890.273296,0.961,0.3686
1692846890.305293,1.135,0.3313
1692846890.341167,1.135,0.4598
1692846890.373289,1.135,0.3881
1692846890.405154,1.135,0.5077
1692846890.441213,1.135,0.4715
1692846890.473384,1.135,0.4695
1692846890.505253,1.255,0.4576
1692846890.541363,1.255,0.479
1692846890.573167,1.255,0.4491
1692846890.605331,1.255,0.398
1692846890.641196,1.255,0.4104
1692846890.673311,1.255,0.4769
1692846890.705422,1.374,0.3546
1692846890.741265,1.374,0.4156
1692846890.773249,1.374,0.4279
1692846890.805320,1.374,0.4672
1692846890.841237,1.374,0.4184
1692846890.873211,1.374,0.4883
1692846890.905457,1.44,0.4475
1692846890.941207,1.44,0.4377
1692846890.973237,1.44,0.4709
1692846891.005407,1.44,0.3073
1692846891.041432,1.44,0.4139
1692846891.073070,1.44,0.392
1692846891.104939,1.481,0.4174
1692846891.141058,1.481,0.4129
1692846891.172938,1.481,0.3396
1692846891.204937,1.481,0.5097
1692846891.240995,1.481,0.4383
1692846891.273056,1.481,0.3097
1692846891.304939,1.514,0.3833
1692846891.340928,1.514,0.4307
1692846891.374068,1.514,0.4551
1692846891.405012,1.514,0.4578
1692846891.441219,1.514,0.3903
1692846891.473112,1.514,0.4102
1692846891.505053,1.54,0.4085
1692846891.541082,1.54,0.5199
1692846891.573462,1.54,0.5157
1692846891.605494,1.54,0.3587
1692846891.641807,1.54,0.4338
1692846891.673554,1.54,0.4412
1692846891.705489,1.563,0.5001
1692846891.741276,1.563,0.4076
1692846891.773446,1.563,0.357
1692846891.805185,1.563,0.4607
1692846891.841534,1.563,0.3352
1692846891.873387,1.563,0.4642
1692846891.905061,1.631,0.4318
1692846891.941802,1.631,0.306
1692846891.973177,1.631,0.4887
1692846892.005354,1.631,0.3405
1692846892.041761,1.631,0.4082
1692846892.073185,1.631,0.411
1692846892.105047,1.739,0.4093
1692846892.141327,1.739,0.375
1692846892.172997,1.739,0.5813
1692846892.205072,1.739,0.3455
1692846892.241132,1.739,0.36
1692846892.272935,1.739,0.5997
1692846892.305127,1.902,0.4715
1692846892.341004,1.902,0.4719
1692846892.373144,1.902,0.4949
1692846892.405320,1.902,0.4982
1692846892.441141,1.902,0.446
1692846892.473359,1.902,0.4611
1692846892.505258,2.057,0.4253
1692846892.540977,2.057,0.4217
1692846892.573120,2.057,0.4656
1692846892.605304,2.057,0.4451
1692846892.641099,2.057,0.4844
1692846892.673002,2.057,0.4672
1692846892.705241,2.258,0.4612
1692846892.741339,2.258,0.4684
1692846892.773141,2.258,0.383
1692846892.805302,2.258,0.4678
1692846892.841403,2.258,0.4407
1692846892.873048,2.258,0.366
1692846892.905265,2.472,0.4593
1692846892.940987,2.472,0.4823
1692846892.973081,2.472,0.4184
1692846893.005000,2.472,0.5333
1692846893.041284,2.472,0.4574
1692846893.073389,2.472,0.3924
1692846893.105629,2.728,0.5924
1692846893.141699,2.728,0.4614
1692846893.173340,2.728,0.3113
1692846893.205406,2.728,0.5529
1692846893.241324,2.728,0.5947
1692846893.273160,2.728,0.4385
1692846893.305775,2.728,0.404
1692846893.341417,2.904,0.4616
1692846893.373039,2.904,0.4537
1692846893.405008,2.904,0.4109
1692846893.441275,2.904,0.508
1692846893.473444,2.904,0.45
1692846893.505011,2.904,0.5218
1692846893.541308,3.179,0.37
1692846893.573235,3.179,0.4878
1692846893.604944,3.179,0.5836
1692846893.641169,3.179,0.5423
1692846893.673287,3.179,0.3321
1692846893.705225,3.179,0.4127
1692846893.741231,3.179,0.5078
1692846893.773278,3.179,0.443
1692846893.805014,3.407,0.4117
1692846893.841190,3.407,0.4263
1692846893.873273,3.407,0.4397
1692846893.905226,3.407,0.5255
1692846893.941135,3.407,0.3828
1692846893.973204,3.407,0.4025
1692846894.005364,3.629,0.5599
1692846894.041240,3.629,0.4073
1692846894.073491,3.629,0.4631
1692846894.105525,3.629,0.3861
1692846894.141180,3.629,0.2855
1692846894.173266,3.629,0.4261
1692846894.205335,3.839,0.4028
1692846894.241310,3.839,0.4216
1692846894.273359,3.839,0.5066
1692846894.305359,3.839,0.4504
1692846894.341872,3.839,0.4064
1692846894.373459,4.015,0.4519
1692846894.405601,4.015,0.4565
1692846894.441553,4.015,0.2894
1692846894.473541,4.015,0.4635
1692846894.505470,4.015,0.436
1692846894.541350,4.015,0.4005
1692846894.573426,4.015,0.451
1692846894.605462,4.015,0.4132
1692846894.641509,4.107,0.4379
1692846894.673433,4.107,0.4242
1692846894.705534,4.107,0.4667
1692846894.741577,4.107,0.4166
1692846894.773459,4.107,0.4329
1692846894.805680,4.107,0.3941
1692846894.841435,4.118,0.4191
1692846894.873591,4.118,0.437
1692846894.905629,4.118,0.4392
1692846894.941394,4.118,0.4464
1692846894.973511,4.118,0.4119
1692846895.005569,4.118,0.4978
1692846895.041445,4.117,0.3778
1692846895.073469,4.117,0.4383
1692846895.105562,4.117,0.4309
1692846895.141451,4.117,0.4346
1692846895.173444,4.117,0.5436
1692846895.205484,4.117,0.4044
1692846895.241360,4.12,0.4635
1692846895.273583,4.12,0.3916
1692846895.305503,4.12,0.4487
1692846895.341418,4.12,0.4149
1692846895.373461,4.12,0.4113
1692846895.405482,4.12,0.4432
1692846895.441502,4.122,0.4593
1692846895.473446,4.122,0.4371
1692846895.505476,4.122,0.4346
1692846895.541345,4.122,0.4223
1692846895.573448,4.122,0.4697
1692846895.605452,4.122,0.3363
1692846895.641467,4.129,0.4668
1692846895.673487,4.129,0.3973
1692846895.705469,4.129,0.3883
1692846895.741351,4.129,0.387
1692846895.773433,4.129,0.3616
1692846895.805506,4.129,0.4906
1692846895.841632,4.133,0.4116
1692846895.873491,4.133,0.3679
1692846895.905483,4.133,0.477
1692846895.941457,4.133,0.4149
1692846895.973340,4.133,0.4344
1692846896.005494,4.133,0.4275
1692846896.041436,4.139,0.3534
1692846896.073111,4.139,0.4625
1692846896.105037,4.139,0.4379
1692846896.141147,4.139,0.4077
1692846896.173104,4.139,0.4107
1692846896.205101,4.139,0.4634
1692846896.241238,4.138,0.4102
1692846896.273247,4.138,0.4099
1692846896.305133,4.138,0.4895
1692846896.341331,4.138,0.4338
1692846896.373422,4.138,0.4655
1692846896.405500,4.138,0.454
1692846896.441896,4.134,0.4045
1692846896.473255,4.134,0.4337
1692846896.505294,4.134,0.4028
1692846896.541231,4.134,0.4267
1692846896.573086,4.134,0.4149
1692846896.605143,4.134,0.4253
1692846896.641231,4.132,0.4386
1692846896.673310,4.132,0.3319
1692846896.705215,4.132,0.406
1692846896.741039,4.132,0.396
1692846896.775130,4.132,0.3516
1692846896.805595,4.132,0.4052
1692846896.841318,4.127,0.3601
1692846896.874503,4.127,0.5681
1692846896.905281,4.127,0.4641
1692846896.941142,4.127,0.4986
1692846896.973155,4.127,0.4417
1692846897.005264,4.127,0.4279
1692846897.041404,4.123,0.4367
1692846897.073323,4.123,0.3436
1692846897.105301,4.123,0.2625
1692846897.141262,4.123,0.3606
1692846897.173605,4.123,0.476
1692846897.205322,4.123,0.3307
1692846897.241205,4.123,0.4407
1692846897.273434,4.119,0.4409
1692846897.305493,4.119,0.479
1692846897.341080,4.119,0.3909
1692846897.373206,4.119,0.3737
1692846897.405230,4.119,0.3157
1692846897.441235,4.119,0.3763
1692846897.473229,4.119,0.498
1692846897.505223,4.114,0.4807
1692846897.541100,4.114,0.3543
1692846897.573080,4.114,0.4182
1692846897.605169,4.114,0.5316
1692846897.641277,4.114,0.4433
1692846897.673120,4.114,0.3987
1692846897.705305,4.111,0.4561
1692846897.741020,4.111,0.4663
1692846897.773032,4.111,0.4255
1692846897.804999,4.111,0.4122
1692846897.840888,4.111,0.4624
1692846897.873029,4.111,0.463
1692846897.905236,4.108,0.4418
1692846897.941396,4.108,0.4138
1692846897.973075,4.108,0.4813
1692846898.005495,4.108,0.5762
1692846898.041437,4.108,0.4792
1692846898.073308,4.108,0.4125
1692846898.105147,4.104,0.435
1692846898.140879,4.104,0.4789
1692846898.172930,4.104,0.4117
1692846898.205015,4.104,0.3812
1692846898.241138,4.104,0.4475
1692846898.273193,4.104,0.3757
1692846898.305021,4.1,0.4152
1692846898.340911,4.1,0.4312
1692846898.373208,4.1,0.3798
1692846898.404986,4.1,0.3417
1692846898.441046,4.1,0.4543
1692846898.473171,4.1,0.4531
1692846898.505112,4.099,0.442
1692846898.540964,4.099,0.544
1692846898.573585,4.099,0.4351
1692846898.605143,4.099,0.4621
1692846898.641009,4.099,0.4413
1692846898.673198,4.099,0.3835
1692846898.705031,4.096,0.4369
1692846898.741218,4.096,0.3827
1692846898.773548,4.096,0.3928
1692846898.805651,4.096,0.4386
1692846898.841791,4.096,0.4022
1692846898.873412,4.096,0.4344
1692846898.905565,4.092,0.4235
1692846898.941409,4.092,0.3921
1692846898.973549,4.092,0.4529
1692846899.005249,4.092,0.4096
1692846899.041307,4.092,0.1262
1692846899.073473,4.092,0.3824
1692846899.105267,4.09,0.4335
1692846899.141163,4.09,0.4103
1692846899.173128,4.09,0.5017
1692846899.205802,4.09,0.4828
1692846899.241210,4.09,0.4472
1692846899.273253,4.09,0.429
1692846899.305877,4.093,0.4908
1692846899.340987,4.093,0.4249
1692846899.372948,4.093,0.3346
1692846899.405174,4.093,0.3616
1692846899.441097,4.093,0.4941
1692846899.473094,4.093,0.4972
1692846899.505065,4.095,0.4536
1692846899.541035,4.095,0.4863
1692846899.573407,4.095,0.4827
1692846899.605216,4.095,0.4449
1692846899.641071,4.095,0.4051
1692846899.673409,4.095,0.4261
1692846899.705645,4.094,0.4206
1692846899.741404,4.094,0.3846
1692846899.773416,4.094,0.4611
1692846899.805460,4.094,0.4493
1692846899.841394,4.094,0.4141
1692846899.873422,4.094,0.3724
1692846899.905459,4.094,0.5176
1692846899.941399,4.094,0.425
1692846899.973100,4.094,0.4048
1692846900.005342,4.094,0.3993
1692846900.041186,4.094,0.4156
1692846900.073269,4.094,0.344
1692846900.106555,4.097,0.4726
1692846900.141168,4.097,0.4974
1692846900.173251,4.097,0.4316
1692846900.205352,4.097,0.5739
1692846900.241228,4.097,0.377
1692846900.273224,4.097,0.47
1692846900.305326,4.096,0.4599
1692846900.341452,4.096,0.4317
1692846900.373347,4.096,0.4015
1692846900.405389,4.096,0.4253
1692846900.441239,4.096,0.4144
1692846900.473542,4.096,0.4176
1692846900.505494,4.098,0.4249
1692846900.541166,4.098,0.4502
1692846900.573340,4.098,0.4249
1692846900.605420,4.098,0.3596
1692846900.641136,4.098,0.3957
1692846900.673405,4.098,0.4572
1692846900.705385,4.098,0.429
1692846900.741164,4.098,0.4189
1692846900.773269,4.098,0.3743
1692846900.805489,4.098,0.4127
1692846900.841134,4.098,0.4491
1692846900.873257,4.098,0.3711
1692846900.905305,4.099,0.4574
1692846900.941110,4.099,0.442
1692846900.973246,4.099,0.4744
1692846901.005584,4.099,0.2836
1692846901.041372,4.099,0.3906
1692846901.073367,4.099,0.403
1692846901.105343,4.103,0.3261
1692846901.141254,4.103,0.4251
1692846901.173270,4.103,0.4618
1692846901.205605,4.103,0.4781
1692846901.241303,4.103,0.4972
1692846901.273467,4.103,0.5086
1692846901.305626,4.109,0.4846
1692846901.341369,4.109,0.5065
1692846901.373642,4.109,0.4422
1692846901.405449,4.109,0.4221
1692846901.441199,4.109,0.4024
1692846901.473499,4.109,0.4614
1692846901.505472,4.115,0.5271
1692846901.541201,4.115,0.5279
1692846901.573483,4.115,0.5548
1692846901.605566,4.115,0.5522
1692846901.641939,4.115,0.5301
1692846901.673351,4.115,0.5081
1692846901.705815,4.117,0.492
1692846901.741377,4.117,0.4263
1692846901.773180,4.117,0.5136
1692846901.805386,4.117,0.4759
1692846901.841398,4.117,0.5097
1692846901.873398,4.117,0.5753
1692846901.905428,4.115,0.353
1692846901.941418,4.115,0.3878
1692846901.973671,4.115,0.5513
1692846902.005482,4.115,0.4818
1692846902.041570,4.115,0.5973
1692846902.073603,4.115,0.4889
1692846902.105521,4.12,0.4472
1692846902.141476,4.12,0.4034
1692846902.173522,4.12,0.4695
1692846902.205378,4.12,0.5519
1692846902.241413,4.12,0.5437
1692846902.273517,4.12,0.582
1692846902.305388,4.123,0.5783
1692846902.341439,4.123,0.5736
1692846902.373205,4.123,0.4942
1692846902.405305,4.123,0.4204
1692846902.441457,4.123,0.4667
1692846902.473462,4.123,0.5814
1692846902.505354,4.125,0.4687
1692846902.541148,4.125,0.4493
1692846902.573271,4.125,0.5215
1692846902.605414,4.125,0.3997
1692846902.641203,4.125,0.5341
1692846902.673262,4.125,0.5893
1692846902.705412,4.123,0.4686
1692846902.741282,4.123,0.5914
1692846902.773429,4.123,0.4847
1692846902.805635,4.123,0.5165
1692846902.841275,4.123,0.5755
1692846902.873329,4.123,0.4323
1692846902.905351,4.123,0.6008
1692846902.941240,4.123,0.5005
1692846902.973392,4.123,0.5856
1692846903.005322,4.123,0.5514
1692846903.041269,4.123,0.5669
1692846903.073458,4.123,0.565
1692846903.105447,4.118,0.617
1692846903.141479,4.118,0.5373
1692846903.173270,4.118,0.6227
1692846903.205273,4.118,0.5703
1692846903.241334,4.118,0.5226
1692846903.273509,4.118,0.6213
1692846903.305441,4.118,0.587
1692846903.341173,4.125,0.6669
1692846903.373481,4.125,0.6561
1692846903.405266,4.125,0.6242
1692846903.441177,4.125,0.6911
1692846903.473277,4.125,0.6333
1692846903.505307,4.125,0.564
1692846903.541273,4.132,0.5073
1692846903.573910,4.132,0.5294
1692846903.605435,4.132,0.7
1692846903.641633,4.132,0.658
1692846903.673481,4.132,0.646
1692846903.705624,4.132,0.6293
1692846903.741123,4.136,0.6246
1692846903.773610,4.136,0.6974
1692846903.805496,4.136,0.5677
1692846903.841237,4.136,0.7375
1692846903.873446,4.136,0.6327
1692846903.905517,4.136,0.7195
1692846903.941211,4.138,0.5606
1692846903.973799,4.138,0.6626
1692846904.005724,4.138,0.7034
1692846904.041254,4.138,0.5876
1692846904.073730,4.138,0.7347
1692846904.106115,4.138,0.7255
1692846904.141102,4.142,0.6846
1692846904.173360,4.142,0.6742
1692846904.205427,4.142,0.724
1692846904.241498,4.142,0.7054
1692846904.273425,4.142,0.6329
1692846904.305463,4.142,0.6788
1692846904.341304,4.14,0.724
1692846904.373340,4.14,0.6717
1692846904.405332,4.14,0.652
1692846904.441331,4.14,0.672
1692846904.473585,4.14,0.7447
1692846904.505660,4.14,0.7089
1692846904.541321,4.14,0.7164
1692846904.573250,4.14,0.6679
1692846904.605416,4.141,0.6721
1692846904.641126,4.141,0.7325
1692846904.673571,4.141,0.728
1692846904.705427,4.141,0.6563
1692846904.741307,4.141,0.6375
1692846904.773241,4.141,0.7581
1692846904.805321,4.141,0.7321
1692846904.841361,4.139,0.6781
1692846904.873538,4.139,0.6995
1692846904.905201,4.139,0.6922
1692846904.941176,4.139,0.7379
1692846904.973381,4.139,0.6619
1692846905.005232,4.139,0.6998
1692846905.041215,4.139,0.7673
1692846905.073331,4.14,0.6857
1692846905.105393,4.14,0.6063
1692846905.141348,4.14,0.742
1692846905.173329,4.14,0.723
1692846905.205501,4.14,0.7706
1692846905.241460,4.144,0.7473
1692846905.273383,4.144,0.6924
1692846905.305436,4.144,0.6411
1692846905.341307,4.144,0.7415
1692846905.373326,4.144,0.7371
1692846905.405330,4.144,0.7157
1692846905.441267,4.144,0.6924
1692846905.473466,4.144,0.7253
1692846905.505289,4.144,0.7719
1692846905.541338,4.144,0.7354
1692846905.573160,4.144,0.702
1692846905.605264,4.144,0.7185
1692846905.641322,4.141,0.7801
1692846905.673352,4.141,0.7992
1692846905.705314,4.141,0.7375
1692846905.741133,4.141,0.7372
1692846905.773285,4.141,0.7594
1692846905.805338,4.141,0.7504
1692846905.841363,4.135,0.7235
1692846905.874103,4.135,0.7647
1692846905.905478,4.135,0.7773
1692846905.941420,4.135,0.7593
1692846905.973393,4.135,0.7618
1692846906.005449,4.135,0.6847
1692846906.041762,4.134,0.8218
1692846906.074019,4.134,0.7617
1692846906.105599,4.134,0.7938
1692846906.141370,4.134,0.7479
1692846906.173428,4.134,0.7561
1692846906.205422,4.134,0.7946
1692846906.241298,4.135,0.7753
1692846906.273386,4.135,0.7786
1692846906.305501,4.135,0.7803
1692846906.341267,4.135,0.7745
1692846906.373440,4.135,0.7866
1692846906.405387,4.135,0.7297
1692846906.441442,4.138,0.8129
1692846906.473344,4.138,0.786
1692846906.505348,4.138,0.7559
1692846906.541378,4.138,0.7861
1692846906.573217,4.138,0.7897
1692846906.605483,4.138,0.8237
1692846906.641068,4.138,0.7871
1692846906.673225,4.138,0.7888
1692846906.705531,4.141,0.8629
1692846906.741458,4.141,0.8325
1692846906.773386,4.141,0.7948
1692846906.805789,4.141,0.8218
1692846906.841315,4.141,0.7615
1692846906.873283,4.141,0.826
1692846906.905109,4.142,0.781
1692846906.940990,4.142,0.7717
1692846906.973035,4.142,0.7491
1692846907.005066,4.142,0.8204
1692846907.041041,4.142,0.7925
1692846907.073025,4.142,0.7952
1692846907.105013,4.143,0.576
1692846907.140949,4.143,0.7787
1692846907.173090,4.143,0.7454
1692846907.205070,4.143,0.7078
1692846907.241018,4.143,0.7834
1692846907.273122,4.143,0.7635
1692846907.305066,4.144,0.7332
1692846907.340946,4.144,0.7499
1692846907.373083,4.144,0.777
1692846907.405000,4.144,0.8187
1692846907.440925,4.144,0.8511
1692846907.473184,4.144,0.8298
1692846907.504968,4.149,0.8127
1692846907.541012,4.149,0.7904
1692846907.573106,4.149,0.7875
1692846907.605223,4.149,0.8302
1692846907.641232,4.149,0.8028
1692846907.673096,4.149,0.837
1692846907.705144,4.155,0.7772
1692846907.741314,4.155,0.8494
1692846907.773049,4.155,0.8029
1692846907.805176,4.155,0.8243
1692846907.841316,4.155,0.8707
1692846907.873280,4.155,0.8391
1692846907.905142,4.159,0.8376
1692846907.941123,4.159,0.8117
1692846907.973338,4.159,0.7977
1692846908.005158,4.159,0.8082
1692846908.041112,4.159,0.8344
1692846908.073499,4.159,0.8302
1692846908.105239,4.158,0.8501
1692846908.141220,4.158,0.848
1692846908.173262,4.158,0.8196
1692846908.205261,4.158,0.8318
1692846908.241427,4.158,0.8226
1692846908.273414,4.158,0.8048
1692846908.305321,4.161,0.8051
1692846908.341311,4.161,0.8381
1692846908.373264,4.161,0.8052
1692846908.405433,4.161,0.8106
1692846908.441525,4.161,0.8176
1692846908.474490,4.161,0.8201
1692846908.505598,4.164,0.7984
1692846908.541245,4.164,0.8191
1692846908.573828,4.164,0.8274
1692846908.605695,4.164,0.7879
1692846908.641603,4.164,0.846
1692846908.673744,4.164,0.8294
1692846908.705392,4.161,0.8417
1692846908.741432,4.161,0.8506
1692846908.773331,4.161,0.8245
1692846908.806054,4.161,0.8362
1692846908.841540,4.161,0.7824
1692846908.873456,4.161,0.8478
1692846908.905140,4.161,0.8666
1692846908.941038,4.161,0.8185
1692846908.973062,4.161,0.856
1692846909.005179,4.161,0.8107
1692846909.040986,4.161,0.8095
1692846909.073086,4.161,0.8406
1692846909.105297,4.166,0.8482
1692846909.141089,4.166,0.8568
1692846909.173261,4.166,0.8378
1692846909.205380,4.166,0.804
1692846909.241056,4.166,0.8428
1692846909.273328,4.166,0.7987
1692846909.305320,4.17,0.8426
1692846909.341041,4.17,0.8422
1692846909.373075,4.17,0.8403
1692846909.405119,4.17,0.8366
1692846909.441488,4.17,0.8259
1692846909.473035,4.17,0.855
1692846909.505075,4.177,0.8342
1692846909.541141,4.177,0.8391
1692846909.573013,4.177,0.8412
1692846909.605324,4.177,0.8302
1692846909.641101,4.177,0.8206
1692846909.673083,4.177,0.8459
1692846909.705218,4.18,0.8565
1692846909.741064,4.18,0.8538
1692846909.773098,4.18,0.8334
1692846909.805144,4.18,0.8684
1692846909.841085,4.18,0.8959
1692846909.873064,4.18,0.8459
1692846909.905131,4.175,0.8169
1692846909.941375,4.175,0.7735
1692846909.973310,4.175,0.7629
1692846910.005379,4.175,0.773
1692846910.041257,4.175,0.6705
1692846910.073280,4.175,0.8141
1692846910.105084,4.172,0.7917
1692846910.141454,4.172,0.8319
1692846910.173033,4.172,0.7625
1692846910.205101,4.172,0.8014
1692846910.241599,4.172,0.8043
1692846910.273120,4.172,0.7427
1692846910.305133,4.17,0.7398
1692846910.341349,4.17,0.7681
1692846910.373631,4.17,0.7932
1692846910.405465,4.17,0.8076
1692846910.442234,4.17,0.7842
1692846910.473206,4.17,0.6726
1692846910.505207,4.165,0.5842
1692846910.540998,4.165,0.7372
1692846910.573149,4.165,0.775
1692846910.605212,4.165,0.8106
1692846910.641067,4.165,0.7799
1692846910.673030,4.165,0.8001
1692846910.704994,4.169,0.7576
1692846910.741118,4.169,0.7555
1692846910.773148,4.169,0.7727
1692846910.805426,4.169,0.7608
1692846910.837559,4.169,0.6565
1692846910.873636,4.169,0.7756
1692846910.905732,4.173,0.7751
1692846910.937347,4.173,0.7393
1692846910.973606,4.173,0.6933
1692846911.005260,4.173,0.5573
1692846911.037210,4.173,0.697
1692846911.073230,4.173,0.6738
1692846911.105332,4.18,0.7275
1692846911.137353,4.18,0.7248
1692846911.173160,4.18,0.7462
1692846911.205204,4.18,0.7054
1692846911.237935,4.18,0.7249
1692846911.273094,4.18,0.76
1692846911.305099,4.182,0.7678
1692846911.337369,4.182,0.7598
1692846911.373146,4.182,0.7435
1692846911.405138,4.182,0.6798
1692846911.437104,4.182,0.5415
1692846911.473101,4.182,0.6834
1692846911.505176,4.182,0.6418
1692846911.537184,4.182,0.6201
1692846911.573226,4.182,0.7965
1692846911.605317,4.182,0.7884
1692846911.637406,4.182,0.7642
1692846911.673280,4.182,0.7698
1692846911.705403,4.178,0.6164
1692846911.737307,4.178,0.7557
1692846911.773384,4.178,0.7451
1692846911.805343,4.178,0.6926
1692846911.837205,4.178,0.7724
1692846911.873167,4.178,0.7733
1692846911.905120,4.178,0.7675
1692846911.937157,4.178,0.7417
1692846911.973077,4.178,0.7243
1692846912.005129,4.178,0.7647
1692846912.037351,4.178,0.7228
1692846912.073174,4.178,0.6405
1692846912.105241,4.182,0.7789
1692846912.137070,4.182,0.7654
1692846912.173296,4.182,0.6531
1692846912.205001,4.182,0.7086
1692846912.237090,4.182,0.7295
1692846912.273179,4.182,0.6466
1692846912.305138,4.182,0.6411
1692846912.337100,4.183,0.7301
1692846912.373206,4.183,0.6471
1692846912.405236,4.183,0.7212
1692846912.437327,4.183,0.7243
1692846912.473275,4.183,0.6297
1692846912.505313,4.183,0.7097
1692846912.537149,4.182,0.7034
1692846912.573087,4.182,0.7058
1692846912.605160,4.182,0.7023
1692846912.637188,4.182,0.5434
1692846912.673150,4.182,0.7601
1692846912.705106,4.182,0.6499
1692846912.737110,4.182,0.6687
1692846912.773113,4.181,0.7733
1692846912.805466,4.181,0.7745
1692846912.837147,4.181,0.7563
1692846912.873410,4.181,0.6478
1692846912.905476,4.181,0.7631
1692846912.937288,4.181,0.7842
1692846912.973290,4.181,0.8008
1692846913.005410,4.185,0.8056
1692846913.037528,4.185,0.7653
1692846913.073353,4.185,0.8013
1692846913.105204,4.185,0.8099
1692846913.137140,4.185,0.8169
1692846913.173262,4.185,0.8076
1692846913.205294,4.188,0.7029
1692846913.237378,4.188,0.8223
1692846913.273225,4.188,0.7935
1692846913.305702,4.188,0.7993
1692846913.337399,4.188,0.7668
1692846913.373175,4.188,0.797
1692846913.405320,4.187,0.8171
1692846913.437333,4.187,0.8303
1692846913.473162,4.187,0.7974
1692846913.505283,4.187,0.7938
1692846913.537189,4.187,0.7948
1692846913.573018,4.187,0.774
1692846913.605103,4.187,0.8414
1692846913.637888,4.187,0.8499
1692846913.673073,4.187,0.877
1692846913.705240,4.187,0.8308
1692846913.737355,4.187,0.8289
1692846913.773118,4.187,0.8238
1692846913.805192,4.19,0.7973
1692846913.837093,4.19,0.8238
1692846913.873249,4.19,0.836
1692846913.905178,4.19,0.8225
1692846913.937138,4.19,0.8278
1692846913.973124,4.19,0.8132
1692846914.005412,4.194,0.8473
1692846914.037374,4.194,0.8243
1692846914.073330,4.194,0.8167
1692846914.105172,4.194,0.8577
1692846914.137541,4.194,0.8563
1692846914.173159,4.194,0.8572
1692846914.205194,4.195,0.8228
1692846914.237200,4.195,0.8455
1692846914.273226,4.195,0.8426
1692846914.305233,4.195,0.8038
1692846914.337320,4.195,0.8082
1692846914.373130,4.195,0.833
1692846914.405159,4.194,0.8335
1692846914.439796,4.194,0.8424
1692846914.473333,4.194,0.832
1692846914.505237,4.194,0.827
1692846914.537231,4.194,0.8134
1692846914.573193,4.194,0.8315
1692846914.605243,4.189,0.8591
1692846914.637095,4.189,0.8188
1692846914.675842,4.189,0.8366
1692846914.705189,4.189,0.8293
1692846914.737106,4.189,0.8256
1692846914.773294,4.189,0.8398
1692846914.805317,4.187,0.8412
1692846914.837457,4.187,0.866
1692846914.873214,4.187,0.8486
1692846914.905358,4.187,0.8604
1692846914.937324,4.187,0.8242
1692846914.973358,4.187,0.8659
1692846915.005243,4.187,0.8503
1692846915.037124,4.187,0.8288
1692846915.073318,4.187,0.868
1692846915.105190,4.187,0.8221
1692846915.137128,4.187,0.8381
1692846915.173403,4.187,0.8554
1692846915.205066,4.188,0.8273
1692846915.237117,4.188,0.8473
1692846915.273307,4.188,0.8399
1692846915.305381,4.188,0.8336
1692846915.337535,4.188,0.8047
1692846915.373832,4.188,0.8009
1692846915.405681,4.19,0.8273
