img,z,conf_full1920,conf_sahi,conf_union
1692846889.473613,,0.0,0.1168,0.1168
1692846889.505655,,0.0,0.2004,0.2004
1692846889.541479,,0.0,0.1545,0.1545
1692846889.573248,,0.0,0.1413,0.1413
1692846889.605316,,0.0,0.148,0.148
1692846889.641788,,0.0,0.1266,0.1266
1692846889.673221,,0.0,0.095,0.095
1692846889.705394,,0.0,0.1587,0.1587
1692846889.741189,,0.0,0.1676,0.1676
1692846889.773260,,0.0,0.1459,0.1459
1692846889.805372,,0.0,0.2138,0.2138
1692846889.841494,,0.0,0.1945,0.1945
1692846889.873641,,0.0,0.1117,0.1117
1692846889.905676,,0.0,0.1228,0.1228
1692846889.941271,,0.0,0.1807,0.1807
1692846889.973360,,0.0,0.1902,0.1902
1692846890.005506,,0.0,0.1523,0.1523
1692846890.041215,,0.0,0.1496,0.1496
1692846890.073256,,0.0,0.2577,0.2577
1692846890.105306,,0.0,0.1516,0.1516
1692846890.141053,,0.0,0.1172,0.1172
1692846890.173341,,0.0,0.1657,0.1657
1692846890.205243,,0.0,0.1592,0.1592
1692846890.241255,,0.0,0.2584,0.2584
1692846890.273296,,0.0,0.1484,0.1484
1692846890.305293,,0.0,0.1453,0.1453
1692846890.341167,,0.0,0.1498,0.1498
1692846890.373289,,0.0,0.1649,0.1649
1692846890.405154,,0.0,0.1656,0.1656
1692846890.441213,,0.0,0.1619,0.1619
1692846890.473384,,0.0,0.1371,0.1371
1692846890.505253,,0.0,0.0926,0.0926
1692846890.541363,,0.0,0.2035,0.2035
1692846890.573167,,0.0,0.1627,0.1627
1692846890.605331,,0.0,0.1357,0.1357
1692846890.641196,,0.0,0.2156,0.2156
1692846890.673311,,0.0,0.0868,0.0868
1692846890.705422,,0.0,0.2002,0.2002
1692846890.741265,,0.0,0.1109,0.1109
1692846890.773249,,0.0,0.1505,0.1505
1692846890.805320,,0.0,0.1312,0.1312
1692846890.841237,,0.0,0.3669,0.3669
1692846890.873211,,0.0,0.3055,0.3055
1692846890.905457,,0.0,0.1313,0.1313
1692846890.941207,,0.0,0.1856,0.1856
1692846890.973237,,0.0,0.1215,0.1215
1692846891.005407,,0.0,0.1917,0.1917
1692846891.041432,,0.0,0.1966,0.1966
1692846891.073070,,0.0,0.1362,0.1362
1692846891.104939,,0.0,0.1403,0.1403
1692846891.141058,,0.0,0.1257,0.1257
1692846891.172938,,0.0,0.2051,0.2051
1692846891.204937,,0.0,0.1205,0.1205
1692846891.240995,,0.0,0.1529,0.1529
1692846891.273056,,0.0,0.1344,0.1344
1692846891.304939,,0.0,0.1638,0.1638
1692846891.340928,,0.0,0.1685,0.1685
1692846891.374068,,0.0,0.147,0.147
1692846891.405012,,0.0,0.114,0.114
1692846891.441219,,0.0,0.1384,0.1384
1692846891.473112,,0.0,0.127,0.127
1692846891.505053,,0.0,0.1895,0.1895
1692846891.541082,,0.0,0.1425,0.1425
1692846891.573462,,0.0,0.1571,0.1571
1692846891.605494,,0.0,0.1481,0.1481
1692846891.641807,,0.0,0.1353,0.1353
1692846891.673554,,0.0,0.1569,0.1569
1692846891.705489,,0.0,0.163,0.163
1692846891.741276,,0.0,0.1934,0.1934
1692846891.773446,,0.0,0.2093,0.2093
1692846891.805185,,0.0,0.1357,0.1357
1692846891.841534,,0.0,0.171,0.171
1692846891.873387,,0.0,0.2689,0.2689
1692846891.905061,,0.0,0.1461,0.1461
1692846891.941802,,0.0,0.1425,0.1425
1692846891.973177,,0.0,0.16,0.16
1692846892.005354,,0.0,0.1598,0.1598
1692846892.041761,,0.0,0.1707,0.1707
1692846892.073185,,0.0,0.1401,0.1401
1692846892.105047,,0.0,0.1706,0.1706
1692846892.141327,,0.0,0.1336,0.1336
1692846892.172997,,0.0,0.2366,0.2366
1692846892.205072,,0.0,0.15,0.15
1692846892.241132,,0.0,0.1092,0.1092
1692846892.272935,,0.0,0.1485,0.1485
1692846892.305127,,0.0,0.2221,0.2221
1692846892.341004,,0.0,0.1604,0.1604
1692846892.373144,,0.0,0.2609,0.2609
1692846892.405320,,0.0,0.2207,0.2207
1692846892.441141,,0.0,0.2249,0.2249
1692846892.473359,,0.0,0.1472,0.1472
1692846892.505258,,0.0,0.1609,0.1609
1692846892.540977,,0.0,0.125,0.125
1692846892.573120,,0.0,0.1184,0.1184
1692846892.605304,,0.0,0.2201,0.2201
1692846892.641099,,0.0,0.2836,0.2836
1692846892.673002,,0.0,0.2185,0.2185
1692846892.705241,,0.0,0.2157,0.2157
1692846892.741339,,0.0,0.2177,0.2177
1692846892.773141,,0.0,0.1978,0.1978
1692846892.805302,,0.0,0.242,0.242
1692846892.841403,,0.0,0.1831,0.1831
1692846892.873048,,0.0,0.2281,0.2281
1692846892.905265,,0.0,0.242,0.242
1692846892.940987,,0.0,0.2031,0.2031
1692846892.973081,,0.0,0.2705,0.2705
1692846893.005000,,0.0,0.1593,0.1593
1692846893.041284,,0.0,0.2433,0.2433
1692846893.073389,,0.0,0.2591,0.2591
1692846893.105629,,0.0,0.2219,0.2219
1692846893.141699,,0.0,0.2741,0.2741
1692846893.173340,,0.0,0.2958,0.2958
1692846893.205406,,0.0,0.212,0.212
1692846893.241324,,0.0,0.3077,0.3077
1692846893.273160,,0.0,0.2893,0.2893
1692846893.305775,,0.0,0.1948,0.1948
1692846893.341417,,0.0,0.2128,0.2128
1692846893.373039,,0.0,0.2128,0.2128
1692846893.405008,,0.0,0.3851,0.3851
1692846893.441275,,0.0,0.2336,0.2336
1692846893.473444,,0.0,0.3088,0.3088
1692846893.505011,,0.0,0.3127,0.3127
1692846893.541308,,0.0,0.2158,0.2158
1692846893.573235,,0.0,0.2499,0.2499
1692846893.604944,,0.0,0.2923,0.2923
1692846893.641169,,0.0,0.2468,0.2468
1692846893.673287,,0.0,0.195,0.195
1692846893.705225,,0.0,0.4071,0.4071
1692846893.741231,,0.0,0.3157,0.3157
1692846893.773278,,0.0,0.3523,0.3523
1692846893.805014,,0.0,0.3758,0.3758
1692846893.841190,,0.0,0.2729,0.2729
1692846893.873273,,0.0,0.4183,0.4183
1692846893.905226,,0.0,0.3212,0.3212
1692846893.941135,,0.0,0.3491,0.3491
1692846893.973204,,0.0,0.3214,0.3214
1692846894.005364,,0.0,0.2856,0.2856
1692846894.041240,,0.0,0.4444,0.4444
1692846894.073491,,0.0,0.3643,0.3643
1692846894.105525,,0.0,0.2829,0.2829
1692846894.141180,,0.0,0.2123,0.2123
1692846894.173266,,0.0,0.379,0.379
1692846894.205335,,0.0,0.3832,0.3832
1692846894.241310,,0.0,0.3093,0.3093
1692846894.273359,,0.0,0.3353,0.3353
1692846894.305359,,0.0,0.3515,0.3515
1692846894.341872,,0.0,0.4397,0.4397
1692846894.373459,,0.0,0.2973,0.2973
1692846894.405601,,0.0,0.3726,0.3726
1692846894.441553,,0.0,0.367,0.367
1692846894.473541,,0.0,0.2697,0.2697
1692846894.505470,,0.0,0.287,0.287
1692846894.541350,,0.0,0.3405,0.3405
1692846894.573426,,0.0,0.2776,0.2776
1692846894.605462,,0.0,0.2992,0.2992
1692846894.641509,,0.0,0.3132,0.3132
1692846894.673433,,0.0,0.2674,0.2674
1692846894.705534,,0.0,0.2637,0.2637
1692846894.741577,,0.0,0.3522,0.3522
1692846894.773459,,0.0,0.2736,0.2736
1692846894.805680,,0.0,0.2959,0.2959
1692846894.841435,,0.0,0.3331,0.3331
1692846894.873591,,0.0,0.3438,0.3438
1692846894.905629,,0.0,0.3486,0.3486
1692846894.941394,,0.0,0.3019,0.3019
1692846894.973511,,0.0,0.3124,0.3124
1692846895.005569,,0.0,0.2806,0.2806
1692846895.041445,,0.0,0.424,0.424
1692846895.073469,,0.0,0.2934,0.2934
1692846895.105562,,0.0,0.228,0.228
1692846895.141451,,0.0,0.305,0.305
1692846895.173444,,0.0,0.3008,0.3008
1692846895.205484,,0.0,0.2838,0.2838
1692846895.241360,,0.0,0.2895,0.2895
1692846895.273583,,0.0,0.2942,0.2942
1692846895.305503,,0.0,0.2904,0.2904
1692846895.341418,,0.0,0.327,0.327
1692846895.373461,,0.0,0.3036,0.3036
1692846895.405482,,0.0,0.2425,0.2425
1692846895.441502,,0.0,0.3515,0.3515
1692846895.473446,,0.0,0.3407,0.3407
1692846895.505476,,0.0,0.3151,0.3151
1692846895.541345,,0.0,0.3097,0.3097
1692846895.573448,,0.0,0.2769,0.2769
1692846895.605452,,0.0,0.3333,0.3333
1692846895.641467,,0.0,0.2125,0.2125
1692846895.673487,,0.0,0.2262,0.2262
1692846895.705469,,0.0,0.2543,0.2543
1692846895.741351,,0.0,0.2707,0.2707
1692846895.773433,,0.0,0.346,0.346
1692846895.805506,,0.0,0.2142,0.2142
1692846895.841632,,0.0,0.2694,0.2694
1692846895.873491,,0.0,0.2845,0.2845
1692846895.905483,,0.0,0.2862,0.2862
1692846895.941457,,0.0,0.2548,0.2548
1692846895.973340,,0.0,0.248,0.248
1692846896.005494,,0.0,0.3071,0.3071
1692846896.041436,,0.0,0.2881,0.2881
1692846896.073111,,0.0,0.2675,0.2675
1692846896.105037,,0.0,0.2737,0.2737
1692846896.141147,,0.0,0.267,0.267
1692846896.173104,,0.0,0.261,0.261
1692846896.205101,,0.0,0.1721,0.1721
1692846896.241238,,0.0,0.2886,0.2886
1692846896.273247,,0.0,0.221,0.221
1692846896.305133,,0.0,0.2666,0.2666
1692846896.341331,,0.0,0.2385,0.2385
1692846896.373422,,0.0,0.2444,0.2444
1692846896.405500,,0.0,0.3459,0.3459
1692846896.441896,,0.0,0.3092,0.3092
1692846896.473255,,0.0,0.2921,0.2921
1692846896.505294,,0.0,0.2382,0.2382
1692846896.541231,,0.0,0.2564,0.2564
1692846896.573086,,0.0,0.1853,0.1853
1692846896.605143,,0.0,0.2733,0.2733
1692846896.641231,,0.0,0.2555,0.2555
1692846896.673310,,0.0,0.2717,0.2717
1692846896.705215,,0.0,0.3257,0.3257
1692846896.741039,,0.0,0.3632,0.3632
1692846896.775130,,0.0,0.2183,0.2183
1692846896.805595,,0.0,0.3025,0.3025
1692846896.841318,,0.0,0.278,0.278
1692846896.874503,,0.0,0.2831,0.2831
1692846896.905281,,0.0,0.2956,0.2956
1692846896.941142,,0.0,0.3702,0.3702
1692846896.973155,,0.0,0.3723,0.3723
1692846897.005264,,0.0,0.2344,0.2344
1692846897.041404,,0.0,0.3951,0.3951
1692846897.073323,,0.0,0.2942,0.2942
1692846897.105301,,0.0,0.3944,0.3944
1692846897.141262,,0.0,0.2698,0.2698
1692846897.173605,,0.0,0.2807,0.2807
1692846897.205322,,0.0,0.3079,0.3079
1692846897.241205,,0.0,0.3351,0.3351
1692846897.273434,,0.0,0.2854,0.2854
1692846897.305493,,0.0,0.2925,0.2925
1692846897.341080,,0.0,0.2876,0.2876
1692846897.373206,,0.0,0.3303,0.3303
1692846897.405230,,0.0,0.4339,0.4339
1692846897.441235,,0.0,0.3115,0.3115
1692846897.473229,,0.0,0.3204,0.3204
1692846897.505223,,0.0,0.3064,0.3064
1692846897.541100,,0.0,0.4141,0.4141
1692846897.573080,,0.0,0.3058,0.3058
1692846897.605169,,0.0,0.3751,0.3751
1692846897.641277,,0.0,0.5259,0.5259
1692846897.673120,,0.0,0.3838,0.3838
1692846897.705305,,0.0,0.5154,0.5154
1692846897.741020,,0.0,0.3764,0.3764
1692846897.773032,,0.0,0.2814,0.2814
1692846897.804999,,0.0,0.4306,0.4306
1692846897.840888,,0.0,0.3612,0.3612
1692846897.873029,,0.0,0.4025,0.4025
1692846897.905236,,0.0,0.3321,0.3321
1692846897.941396,,0.0,0.4769,0.4769
1692846897.973075,,0.0,0.3803,0.3803
1692846898.005495,,0.0,0.3242,0.3242
1692846898.041437,,0.0,0.4613,0.4613
1692846898.073308,,0.0,0.4395,0.4395
1692846898.105147,,0.0,0.4185,0.4185
1692846898.140879,,0.0,0.516,0.516
1692846898.172930,,0.0,0.4746,0.4746
1692846898.205015,,0.0,0.4646,0.4646
1692846898.241138,,0.0,0.4398,0.4398
1692846898.273193,,0.0,0.4556,0.4556
1692846898.305021,,0.0,0.5151,0.5151
1692846898.340911,,0.0,0.4612,0.4612
1692846898.373208,,0.0,0.4175,0.4175
1692846898.404986,,0.0,0.4663,0.4663
1692846898.441046,,0.0,0.4516,0.4516
1692846898.473171,,0.0,0.4708,0.4708
1692846898.505112,,0.0,0.4805,0.4805
1692846898.540964,,0.0,0.3992,0.3992
1692846898.573585,,0.0,0.5057,0.5057
1692846898.605143,,0.0,0.4942,0.4942
1692846898.641009,,0.0,0.5095,0.5095
1692846898.673198,,0.0,0.4501,0.4501
1692846898.705031,,0.0,0.3737,0.3737
1692846898.741218,,0.0,0.4105,0.4105
1692846898.773548,,0.0,0.5392,0.5392
1692846898.805651,,0.0,0.5243,0.5243
1692846898.841791,,0.0,0.4613,0.4613
1692846898.873412,,0.0,0.4762,0.4762
1692846898.905565,,0.0,0.5814,0.5814
1692846898.941409,,0.0,0.4832,0.4832
1692846898.973549,,0.0,0.4947,0.4947
1692846899.005249,,0.0,0.5307,0.5307
1692846899.041307,,0.0,0.5136,0.5136
1692846899.073473,,0.0,0.4985,0.4985
1692846899.105267,,0.0,0.4409,0.4409
1692846899.141163,,0.0,0.492,0.492
1692846899.173128,,0.0,0.5848,0.5848
1692846899.205802,,0.0,0.4672,0.4672
1692846899.241210,,0.0,0.497,0.497
1692846899.273253,,0.0,0.496,0.496
1692846899.305877,,0.0,0.4781,0.4781
1692846899.340987,,0.0,0.5471,0.5471
1692846899.372948,,0.0,0.4493,0.4493
1692846899.405174,,0.0,0.5081,0.5081
1692846899.441097,,0.0,0.5135,0.5135
1692846899.473094,,0.0,0.5003,0.5003
1692846899.505065,,0.0,0.4583,0.4583
1692846899.541035,,0.0,0.4637,0.4637
1692846899.573407,,0.0,0.4969,0.4969
1692846899.605216,,0.0,0.5263,0.5263
1692846899.641071,,0.0,0.4281,0.4281
1692846899.673409,,0.0,0.4713,0.4713
1692846899.705645,,0.0,0.5342,0.5342
1692846899.741404,,0.0,0.527,0.527
1692846899.773416,,0.0,0.4817,0.4817
1692846899.805460,,0.0,0.4769,0.4769
1692846899.841394,,0.0,0.4957,0.4957
1692846899.873422,,0.0,0.4992,0.4992
1692846899.905459,,0.0,0.4929,0.4929
1692846899.941399,,0.0,0.4761,0.4761
1692846899.973100,,0.0,0.4854,0.4854
1692846900.005342,,0.0,0.426,0.426
1692846900.041186,,0.0,0.5064,0.5064
1692846900.073269,,0.0,0.4917,0.4917
1692846900.106555,,0.0,0.4777,0.4777
1692846900.141168,,0.0,0.4121,0.4121
1692846900.173251,,0.0,0.5485,0.5485
1692846900.205352,,0.0,0.4729,0.4729
1692846900.241228,,0.0,0.5125,0.5125
1692846900.273224,,0.0,0.4917,0.4917
1692846900.305326,,0.0,0.4379,0.4379
1692846900.341452,,0.0,0.4907,0.4907
1692846900.373347,,0.0,0.4159,0.4159
1692846900.405389,,0.0,0.4943,0.4943
1692846900.441239,,0.0,0.4415,0.4415
1692846900.473542,,0.0,0.4808,0.4808
1692846900.505494,,0.0,0.4317,0.4317
1692846900.541166,,0.0,0.4119,0.4119
1692846900.573340,,0.0,0.4939,0.4939
1692846900.605420,,0.0,0.4581,0.4581
1692846900.641136,,0.0,0.4577,0.4577
1692846900.673405,,0.0,0.4777,0.4777
1692846900.705385,,0.0,0.4845,0.4845
1692846900.741164,,0.0,0.489,0.489
1692846900.773269,,0.0,0.4273,0.4273
1692846900.805489,,0.0,0.4757,0.4757
1692846900.841134,,0.0,0.4177,0.4177
1692846900.873257,,0.0,0.4851,0.4851
1692846900.905305,,0.0,0.4717,0.4717
1692846900.941110,,0.0,0.4908,0.4908
1692846900.973246,,0.0,0.4202,0.4202
1692846901.005584,,0.0,0.4476,0.4476
1692846901.041372,,0.0,0.4161,0.4161
1692846901.073367,,0.0,0.4426,0.4426
1692846901.105343,,0.0,0.4894,0.4894
1692846901.141254,,0.0,0.4298,0.4298
1692846901.173270,,0.0,0.4977,0.4977
1692846901.205605,,0.0,0.4601,0.4601
1692846901.241303,,0.0,0.4837,0.4837
1692846901.273467,,0.0,0.4124,0.4124
1692846901.305626,,0.0,0.5201,0.5201
1692846901.341369,,0.0,0.4959,0.4959
1692846901.373642,,0.0,0.5313,0.5313
1692846901.405449,,0.0,0.4707,0.4707
1692846901.441199,,0.0,0.4481,0.4481
1692846901.473499,,0.0,0.5032,0.5032
1692846901.505472,,0.0,0.4907,0.4907
1692846901.541201,,0.0,0.4585,0.4585
1692846901.573483,,0.0,0.4808,0.4808
1692846901.605566,,0.0,0.4941,0.4941
1692846901.641939,,0.0,0.4567,0.4567
1692846901.673351,,0.0,0.4312,0.4312
1692846901.705815,,0.0,0.4998,0.4998
1692846901.741377,,0.0,0.417,0.417
1692846901.773180,,0.0,0.5047,0.5047
1692846901.805386,,0.0,0.4832,0.4832
1692846901.841398,,0.0,0.4691,0.4691
1692846901.873398,,0.0,0.4593,0.4593
1692846901.905428,,0.0,0.4366,0.4366
1692846901.941418,,0.0,0.4269,0.4269
1692846901.973671,,0.0,0.4641,0.4641
1692846902.005482,,0.0,0.5467,0.5467
1692846902.041570,,0.0,0.4787,0.4787
1692846902.073603,,0.0,0.4963,0.4963
1692846902.105521,,0.0,0.5018,0.5018
1692846902.141476,,0.0,0.4617,0.4617
1692846902.173522,,0.0,0.495,0.495
1692846902.205378,,0.0,0.4731,0.4731
1692846902.241413,,0.0,0.5653,0.5653
1692846902.273517,,0.0,0.465,0.465
1692846902.305388,,0.0,0.5275,0.5275
1692846902.341439,,0.0,0.4805,0.4805
1692846902.373205,,0.0,0.5001,0.5001
1692846902.405305,,0.0,0.4802,0.4802
1692846902.441457,,0.0,0.5602,0.5602
1692846902.473462,,0.0,0.4972,0.4972
1692846902.505354,,0.0,0.5912,0.5912
1692846902.541148,,0.0,0.4851,0.4851
1692846902.573271,,0.0,0.5356,0.5356
1692846902.605414,,0.0,0.5783,0.5783
1692846902.641203,,0.0,0.5488,0.5488
1692846902.673262,,0.0,0.4849,0.4849
1692846902.705412,,0.0,0.4937,0.4937
1692846902.741282,,0.0,0.4882,0.4882
1692846902.773429,,0.0,0.4267,0.4267
1692846902.805635,,0.0,0.4579,0.4579
1692846902.841275,,0.0,0.5331,0.5331
1692846902.873329,,0.0,0.5182,0.5182
1692846902.905351,,0.0,0.5299,0.5299
1692846902.941240,,0.0,0.4128,0.4128
1692846902.973392,,0.0,0.4816,0.4816
1692846903.005322,,0.0,0.5138,0.5138
1692846903.041269,,0.0,0.4888,0.4888
1692846903.073458,,0.0,0.527,0.527
1692846903.105447,,0.0,0.4909,0.4909
1692846903.141479,,0.0,0.4786,0.4786
1692846903.173270,,0.0,0.4861,0.4861
1692846903.205273,,0.0,0.4956,0.4956
1692846903.241334,,0.0,0.4905,0.4905
1692846903.273509,,0.0,0.5948,0.5948
1692846903.305441,,0.0,0.5214,0.5214
1692846903.341173,,0.0,0.4523,0.4523
1692846903.373481,,0.0,0.5859,0.5859
1692846903.405266,,0.0,0.4666,0.4666
1692846903.441177,,0.0,0.4846,0.4846
1692846903.473277,,0.0,0.5555,0.5555
1692846903.505307,,0.0,0.6258,0.6258
1692846903.541273,,0.0,0.5574,0.5574
1692846903.573910,,0.0,0.5669,0.5669
1692846903.605435,,0.0,0.474,0.474
1692846903.641633,,0.0,0.5692,0.5692
1692846903.673481,,0.0,0.5584,0.5584
1692846903.705624,,0.0,0.7054,0.7054
1692846903.741123,,0.0,0.623,0.623
1692846903.773610,,0.0,0.7157,0.7157
1692846903.805496,,0.0,0.6534,0.6534
1692846903.841237,,0.0,0.6423,0.6423
1692846903.873446,,0.0,0.6315,0.6315
1692846903.905517,,0.0,0.6113,0.6113
1692846903.941211,,0.0,0.6696,0.6696
1692846903.973799,,0.0,0.6555,0.6555
1692846904.005724,,0.0,0.7667,0.7667
1692846904.041254,,0.0,0.7432,0.7432
1692846904.073730,,0.0,0.6486,0.6486
1692846904.106115,,0.0,0.6289,0.6289
1692846904.141102,,0.0,0.7146,0.7146
1692846904.173360,,0.0,0.685,0.685
1692846904.205427,,0.0,0.7222,0.7222
1692846904.241498,,0.0,0.8086,0.8086
1692846904.273425,,0.0,0.7869,0.7869
1692846904.305463,,0.0,0.796,0.796
1692846904.341304,,0.0,0.7875,0.7875
1692846904.373340,,0.0,0.8223,0.8223
1692846904.405332,,0.0,0.8053,0.8053
1692846904.441331,,0.0,0.7314,0.7314
1692846904.473585,,0.0,0.7897,0.7897
1692846904.505660,,0.0,0.8395,0.8395
1692846904.541321,,0.0,0.8524,0.8524
1692846904.573250,,0.0,0.7915,0.7915
1692846904.605416,,0.0,0.8132,0.8132
1692846904.641126,,0.0,0.813,0.813
1692846904.673571,,0.0,0.8119,0.8119
1692846904.705427,,0.0,0.8068,0.8068
1692846904.741307,,0.0,0.7676,0.7676
1692846904.773241,,0.0,0.7804,0.7804
1692846904.805321,,0.0,0.6669,0.6669
1692846904.841361,,0.0,0.7833,0.7833
1692846904.873538,,0.0,0.8368,0.8368
1692846904.905201,,0.0,0.8056,0.8056
1692846904.941176,,0.0,0.8212,0.8212
1692846904.973381,,0.0,0.7997,0.7997
1692846905.005232,,0.0,0.8502,0.8502
1692846905.041215,,0.0,0.8266,0.8266
1692846905.073331,,0.0,0.7833,0.7833
1692846905.105393,,0.0,0.7617,0.7617
1692846905.141348,,0.0,0.6504,0.6504
1692846905.173329,,0.0,0.6851,0.6851
1692846905.205501,,0.0,0.7996,0.7996
1692846905.241460,,0.0,0.5515,0.5515
1692846905.273383,,0.0,0.7769,0.7769
1692846905.305436,,0.0,0.7418,0.7418
1692846905.341307,,0.0,0.8488,0.8488
1692846905.373326,,0.0,0.8406,0.8406
1692846905.405330,,0.0,0.8098,0.8098
1692846905.441267,,0.0,0.741,0.741
1692846905.473466,,0.0,0.8495,0.8495
1692846905.505289,,0.0,0.851,0.851
1692846905.541338,,0.0,0.7821,0.7821
1692846905.573160,,0.0,0.7064,0.7064
1692846905.605264,,0.0,0.8292,0.8292
1692846905.641322,,0.0,0.8554,0.8554
1692846905.673352,,0.0,0.8865,0.8865
1692846905.705314,,0.0,0.796,0.796
1692846905.741133,,0.0,0.8288,0.8288
1692846905.773285,,0.0,0.8644,0.8644
1692846905.805338,,0.0,0.8629,0.8629
1692846905.841363,,0.0,0.8511,0.8511
1692846905.874103,,0.0,0.8227,0.8227
1692846905.905478,,0.0,0.8411,0.8411
1692846905.941420,,0.0,0.7547,0.7547
1692846905.973393,,0.0,0.8561,0.8561
1692846906.005449,,0.0,0.8293,0.8293
1692846906.041762,,0.0,0.8784,0.8784
1692846906.074019,,0.0,0.8426,0.8426
1692846906.105599,,0.0,0.8868,0.8868
1692846906.141370,,0.0,0.8745,0.8745
1692846906.173428,,0.0,0.7424,0.7424
1692846906.205422,,0.0,0.8563,0.8563
1692846906.241298,,0.0,0.8796,0.8796
1692846906.273386,,0.0,0.8122,0.8122
1692846906.305501,,0.0,0.8582,0.8582
1692846906.341267,,0.0,0.8924,0.8924
1692846906.373440,,0.0,0.8813,0.8813
1692846906.405387,,0.0,0.4458,0.4458
1692846906.441442,,0.0,0.877,0.877
1692846906.473344,,0.0,0.8653,0.8653
1692846906.505348,,0.0,0.7792,0.7792
1692846906.541378,,0.0,0.8294,0.8294
1692846906.573217,,0.0,0.7492,0.7492
1692846906.605483,,0.0,0.8687,0.8687
1692846906.641068,,0.0,0.8147,0.8147
1692846906.673225,,0.0,0.507,0.507
1692846906.705531,,0.0,0.8816,0.8816
1692846906.741458,,0.0,0.8244,0.8244
1692846906.773386,,0.0,0.6215,0.6215
1692846906.805789,,0.0,0.8578,0.8578
1692846906.841315,,0.0,0.7809,0.7809
1692846906.873283,,0.0,0.4927,0.4927
1692846906.905109,,0.0,0.7867,0.7867
1692846906.940990,,0.0,0.3458,0.3458
1692846906.973035,,0.0,0.788,0.788
1692846907.005066,,0.0,0.8167,0.8167
1692846907.041041,,0.0,0.7904,0.7904
1692846907.073025,,0.0,0.8386,0.8386
1692846907.105013,,0.0,0.7441,0.7441
1692846907.140949,,0.0,0.5557,0.5557
1692846907.173090,,0.0,0.8103,0.8103
1692846907.205070,,0.0,0.811,0.811
1692846907.241018,,0.0,0.6573,0.6573
1692846907.273122,,0.0,0.8265,0.8265
1692846907.305066,,0.0,0.4203,0.4203
1692846907.340946,,0.0,0.7549,0.7549
1692846907.373083,,0.0,0.8841,0.8841
1692846907.405000,,0.0,0.8353,0.8353
1692846907.440925,,0.0,0.662,0.662
1692846907.473184,,0.0,0.8802,0.8802
1692846907.504968,,0.0,0.8304,0.8304
1692846907.541012,,0.0,0.5984,0.5984
1692846907.573106,,0.0,0.7575,0.7575
1692846907.605223,,0.0,0.8611,0.8611
1692846907.641232,,0.0,0.8416,0.8416
1692846907.673096,,0.0,0.8088,0.8088
1692846907.705144,,0.0,0.8661,0.8661
1692846907.741314,,0.0,0.7411,0.7411
1692846907.773049,,0.0,0.4136,0.4136
1692846907.805176,,0.0,0.8833,0.8833
1692846907.841316,,0.0,0.8967,0.8967
1692846907.873280,,0.0,0.8363,0.8363
1692846907.905142,,0.0,0.8746,0.8746
1692846907.941123,,0.0,0.8877,0.8877
1692846907.973338,,0.0,0.8641,0.8641
1692846908.005158,,0.0,0.857,0.857
1692846908.041112,,0.0,0.7655,0.7655
1692846908.073499,,0.0,0.8719,0.8719
1692846908.105239,,0.0,0.8728,0.8728
1692846908.141220,,0.0,0.8897,0.8897
1692846908.173262,,0.0,0.8825,0.8825
1692846908.205261,,0.0,0.8312,0.8312
