idx,dt,speed_rel,z,conf
86,0.036,1.0,1.3739884142452052,0.588
87,0.032,1.0,1.3739884142452052,0.615
88,0.032,1.0,1.3739884142452052,0.549
89,0.036,1.0,1.3739884142452052,0.627
90,0.032,1.0,1.3739884142452052,0.726
91,0.032,1.0,1.4398613783798322,0.498
92,0.036,1.0,1.4398613783798322,0.609
93,0.032,1.0,1.4398613783798322,0.641
94,0.032,1.0,1.4398613783798322,0.646
95,0.036,1.0,1.4398613783798322,0.528
96,0.032,1.0,1.4398613783798322,0.624
97,0.032,1.0,1.4810070670846198,0.601
98,0.036,1.0,1.4810070670846198,0.546
99,0.032,1.0,1.4810070670846198,0.533
100,0.032,1.0,1.4810070670846198,0.671
101,0.036,1.0,1.4810070670846198,0.529
102,0.032,1.0,1.4810070670846198,0.558
103,0.032,1.0,1.5136486269996408,0.546
104,0.036,1.0,1.5136486269996408,0.54
105,0.033,1.0,1.5136486269996408,0.555
106,0.031,1.0,1.5136486269996408,0.545
107,0.036,1.0,1.5136486269996408,0.545
108,0.032,1.0,1.5136486269996408,0.618
109,0.032,1.0,1.5398194134315315,0.59
110,0.036,1.0,1.5398194134315315,0.645
111,0.032,1.0,1.5398194134315315,0.526
112,0.032,1.0,1.5398194134315315,0.574
113,0.036,1.0,1.5398194134315315,0.604
114,0.032,1.0,1.5398194134315315,0.632
115,0.032,1.0,1.5627149880372724,0.645
116,0.036,1.0,1.5627149880372724,0.495
117,0.032,1.0,1.5627149880372724,0.626
118,0.032,1.0,1.5627149880372724,0.591
119,0.036,1.0,1.5627149880372724,0.593
120,0.032,1.0,1.5627149880372724,0.528
121,0.032,1.0,1.6309583985260485,0.538
122,0.037,0.6118,1.6309583985260485,0.57
123,0.031,1.0,1.6309583985260485,0.635
124,0.032,1.0,1.6309583985260485,0.523
125,0.036,0.1518,1.6309583985260485,0.568
126,0.031,0.5851,1.6309583985260485,0.523
127,0.032,1.0,1.7387722702046784,0.641
128,0.036,1.0,1.7387722702046784,0.601
129,0.032,1.0,1.7387722702046784,0.675
130,0.032,1.0,1.7387722702046784,0.557
131,0.036,1.0,1.7387722702046784,0.557
132,0.032,1.0,1.7387722702046784,0.597
133,0.032,1.0,1.9019813027285448,0.556
134,0.036,1.0,1.9019813027285448,0.549
135,0.032,1.0,1.9019813027285448,0.655
136,0.032,1.0,1.9019813027285448,0.595
137,0.036,0.4355,1.9019813027285448,0.587
138,0.032,1.0,1.9019813027285448,0.585
139,0.032,1.0,2.057138412110789,0.539
140,0.036,1.0,2.057138412110789,0.59
141,0.032,0.226,2.057138412110789,0.579
142,0.032,0.2753,2.057138412110789,0.595
143,0.036,0.4985,2.057138412110789,0.579
144,0.032,1.0,2.057138412110789,0.635
145,0.032,1.0,2.2575115243840296,0.607
146,0.036,1.0,2.2575115243840296,0.579
147,0.032,1.0,2.2575115243840296,0.642
148,0.032,1.0,2.2575115243840296,0.571
149,0.036,1.0,2.2575115243840296,0.593
150,0.032,1.0,2.2575115243840296,0.547
151,0.032,0.4376,2.4723494715075285,0.606
152,0.036,1.0,2.4723494715075285,0.671
153,0.032,1.0,2.4723494715075285,0.59
154,0.032,1.0,2.4723494715075285,0.587
155,0.036,0.2267,2.4723494715075285,0.617
156,0.032,1.0,2.4723494715075285,0.665
157,0.032,1.0,2.728161891300844,0.63
158,0.036,1.0,2.728161891300844,0.612
159,0.032,1.0,2.728161891300844,0.557
160,0.032,0.5952,2.728161891300844,0.594
161,0.036,1.0,2.728161891300844,0.687
162,0.032,1.0,2.728161891300844,0.584
163,0.033,0.2811,2.728161891300844,0.56
164,0.036,1.0,2.9037831632668096,0.629
165,0.032,1.0,2.9037831632668096,0.556
166,0.032,1.0,2.9037831632668096,0.645
167,0.036,1.0,2.9037831632668096,0.627
168,0.032,1.0,2.9037831632668096,0.586
169,0.032,1.0,2.9037831632668096,0.637
170,0.036,1.0,3.1787499387999114,0.553
171,0.032,1.0,3.1787499387999114,0.608
172,0.032,1.0,3.1787499387999114,0.726
173,0.036,1.0,3.1787499387999114,0.637
174,0.032,1.0,3.1787499387999114,0.521
175,0.032,0.4797,3.1787499387999114,0.511
176,0.036,1.0,3.1787499387999114,0.669
177,0.032,1.0,3.1787499387999114,0.655
178,0.032,1.0,3.4070912213498312,0.495
179,0.036,1.0,3.4070912213498312,0.61
180,0.032,1.0,3.4070912213498312,0.525
181,0.032,1.0,3.4070912213498312,0.666
182,0.036,1.0,3.4070912213498312,0.532
183,0.032,1.0,3.4070912213498312,0.624
184,0.032,1.0,3.629017206245295,0.547
185,0.036,1.0,3.629017206245295,0.641
186,0.032,1.0,3.629017206245295,0.532
187,0.032,1.0,3.629017206245295,0.551
188,0.036,1.0,3.629017206245295,0.62
189,0.032,1.0,3.629017206245295,0.643
190,0.032,1.0,3.839393201965323,0.52
191,0.036,1.0,3.839393201965323,0.632
192,0.032,1.0,3.839393201965323,0.555
193,0.032,1.0,3.839393201965323,0.458
194,0.037,1.0,3.839393201965323,0.622
195,0.032,1.0,4.01536819144262,0.546
196,0.032,1.0,4.01536819144262,0.58
197,0.036,1.0,4.01536819144262,0.5
198,0.032,1.0,4.01536819144262,0.702
199,0.032,1.0,4.01536819144262,0.555
200,0.036,1.0,4.01536819144262,0.649
201,0.032,1.0,4.01536819144262,0.679
202,0.032,1.0,4.01536819144262,0.512
203,0.036,1.0,4.106739586395308,0.6
204,0.032,1.0,4.106739586395308,0.581
205,0.032,0.664,4.106739586395308,0.538
206,0.036,1.0,4.106739586395308,0.517
207,0.032,1.0,4.106739586395308,0.633
208,0.032,1.0,4.106739586395308,0.694
209,0.036,1.0,4.118195335920761,0.535
210,0.032,1.0,4.118195335920761,0.686
211,0.032,1.0,4.118195335920761,0.684
212,0.036,1.0,4.118195335920761,0.578
213,0.032,1.0,4.118195335920761,0.673
214,0.032,1.0,4.118195335920761,0.549
215,0.036,1.0,4.11685158068815,0.585
216,0.032,1.0,4.11685158068815,0.656
217,0.032,1.0,4.11685158068815,0.633
218,0.036,1.0,4.11685158068815,0.616
219,0.032,1.0,4.11685158068815,0.654
220,0.032,1.0,4.11685158068815,0.649
221,0.036,1.0,4.119643890343867,0.571
222,0.032,1.0,4.119643890343867,0.584
223,0.032,1.0,4.119643890343867,0.661
224,0.036,1.0,4.119643890343867,0.583
225,0.032,1.0,4.119643890343867,0.533
226,0.032,0.5501,4.119643890343867,0.566
227,0.036,0.5948,4.122291097574263,0.58
228,0.032,0.7157,4.122291097574263,0.549
229,0.032,1.0,4.122291097574263,0.552
230,0.036,1.0,4.122291097574263,0.593
231,0.032,1.0,4.122291097574263,0.547
232,0.032,1.0,4.122291097574263,0.616
233,0.036,1.0,4.129126532876996,0.598
234,0.032,1.0,4.129126532876996,0.488
235,0.032,0.2939,4.129126532876996,0.525
236,0.036,1.0,4.129126532876996,0.671
237,0.032,1.0,4.129126532876996,0.535
238,0.032,1.0,4.129126532876996,0.562
239,0.036,1.0,4.133245089077591,0.59
240,0.032,1.0,4.133245089077591,0.556
241,0.032,1.0,4.133245089077591,0.538
242,0.036,0.578,4.133245089077591,0.5
243,0.032,1.0,4.133245089077591,0.612
244,0.032,1.0,4.133245089077591,0.608
245,0.036,1.0,4.138521642243192,0.602
246,0.032,1.0,4.138521642243192,0.65
247,0.032,1.0,4.138521642243192,0.587
248,0.036,1.0,4.138521642243192,0.594
249,0.032,1.0,4.138521642243192,0.525
250,0.032,1.0,4.138521642243192,0.529
251,0.036,1.0,4.138018300157328,0.535
252,0.032,1.0,4.138018300157328,0.547
253,0.032,0.1,4.138018300157328,0.576
254,0.036,1.0,4.138018300157328,0.526
255,0.032,1.0,4.138018300157328,0.583
256,0.032,1.0,4.138018300157328,0.646
257,0.036,1.0,4.134201707718575,0.61
258,0.031,1.0,4.134201707718575,0.534
259,0.032,0.1822,4.134201707718575,0.57
260,0.036,1.0,4.134201707718575,0.662
261,0.032,1.0,4.134201707718575,0.591
262,0.032,1.0,4.134201707718575,0.525
263,0.036,1.0,4.131599389728451,0.658
264,0.032,1.0,4.131599389728451,0.591
265,0.032,1.0,4.131599389728451,0.583
266,0.036,1.0,4.131599389728451,0.562
267,0.034,1.0,4.131599389728451,0.563
268,0.03,1.0,4.131599389728451,0.545
269,0.036,1.0,4.126994084417761,0.646
270,0.033,1.0,4.126994084417761,0.485
271,0.031,1.0,4.126994084417761,0.517
272,0.036,1.0,4.126994084417761,0.526
273,0.032,1.0,4.126994084417761,0.592
274,0.032,1.0,4.126994084417761,0.541
275,0.036,1.0,4.123192792758133,0.617
276,0.032,1.0,4.123192792758133,0.532
277,0.032,1.0,4.123192792758133,0.418
278,0.036,1.0,4.123192792758133,0.594
279,0.032,1.0,4.123192792758133,0.646
280,0.032,1.0,4.123192792758133,0.633
281,0.036,1.0,4.123192792758133,0.574
282,0.032,1.0,4.119353061783415,0.524
283,0.032,1.0,4.119353061783415,0.574
284,0.036,1.0,4.119353061783415,0.6
285,0.032,1.0,4.119353061783415,0.561
286,0.032,1.0,4.119353061783415,0.623
287,0.036,1.0,4.119353061783415,0.64
288,0.032,1.0,4.119353061783415,0.504
289,0.032,1.0,4.113784413925246,0.567
290,0.036,1.0,4.113784413925246,0.608
291,0.032,1.0,4.113784413925246,0.551
292,0.032,1.0,4.113784413925246,0.607
293,0.036,1.0,4.113784413925246,0.577
294,0.032,0.1801,4.113784413925246,0.514
295,0.032,0.3464,4.110954604765156,0.513
296,0.036,1.0,4.110954604765156,0.585
297,0.032,1.0,4.110954604765156,0.575
298,0.032,1.0,4.110954604765156,0.559
299,0.036,1.0,4.110954604765156,0.61
330,1.0,1.0,4.096163302884762,0.554
360,1.0,1.0,4.093974350669826,0.607
390,1.0,1.0,4.097959503197985,0.625
420,1.0,1.0,4.117143594119384,0.671
450,1.0,1.0,4.1231581219931295,0.587
480,1.0,1.0,4.136137920885319,0.684
510,1.0,1.0,4.138625123806535,0.748
540,1.001,1.0,4.1345486684084,0.825
570,0.999,1.0,4.140524638339444,0.869
600,1.0,1.0,4.15496398421081,0.9
630,1.0,1.0,4.161218634355692,0.856
660,1.0,1.0,4.179657261430777,0.888
690,1.001,1.0,4.168550659020867,0.761
720,1.0,0.1381,4.177590160155945,0.83
750,1.0,1.0,4.18073340087544,0.788
780,1.0,1.0,4.190252123211409,0.885
810,1.0,0.9543,4.186565486601823,0.878
840,1.001,1.0,4.1835930994247414,0.877
870,1.0,0.541,4.1847413290814055,0.888
900,1.0,0.5775,4.185951592653923,0.887
930,1.0,0.5071,4.1848337552790875,0.848
960,1.0,0.4167,4.187193660355576,0.823
990,1.0,1.0,4.189582695224744,0.86
1020,1.0,1.0,4.190264690836885,0.824
1050,1.0,1.0,4.181909907839555,0.759
1080,1.0,1.0,4.175953724148955,0.679
1110,1.0,1.0,4.180106076643754,0.738
1140,1.0,1.0,4.186980343012395,0.671
1170,1.0,1.0,4.18954353700238,0.62
1200,1.0,1.0,4.184586084694474,0.636
1230,1.0,1.0,4.184004813523317,0.683
1260,1.0,1.0,4.177452903093383,0.699
1290,1.0,1.0,4.171825354796938,0.636
1320,1.0,0.0122,4.189399174833128,0.537
1350,1.0,0.0187,4.411178436286222,0.697
1380,1.0,1.0,4.833958884867955,0.603
1410,1.0,1.0,5.3337257263994795,0.694
1440,1.0,0.014,5.820428810344297,0.639
1470,1.0,0.0068,6.241033066438235,0.558
1500,1.0,0.0218,6.746580555148626,0.527
1530,1.0,1.0,7.272203528309462,0.58
1560,1.0,1.0,7.8125092488504615,0.437
1590,1.0,1.0,8.286127362536435,0.476
1620,1.0,1.0,8.761692826039594,0.589
1650,1.0,1.0,8.895449048555848,0.478
1680,1.0,1.0,8.904451496503812,0.579
1710,1.0,1.0,8.909716826981596,0.656
1740,1.0,1.0,8.899000235339672,0.67
1770,1.0,1.0,8.900907122288944,0.699
1800,1.0,1.0,8.90485242086581,0.658
1830,1.0,1.0,8.919350489065723,0.639
1860,1.0,1.0,8.938860853458296,0.611
1890,1.0,1.0,8.925342768819876,0.729
1920,1.0,1.0,8.931045943605271,0.698
1950,1.0,1.0,8.950152600160665,0.732
1980,0.999,1.0,8.948720361578014,0.69
2010,1.0,1.0,8.907680260177203,0.732
2040,1.0,1.0,8.922734077918522,0.783
2070,1.001,1.0,8.944407100038775,0.769
2100,1.0,1.0,8.939236569539789,0.675
2130,1.0,1.0,8.940565357254643,0.588
2160,1.0,0.2909,8.941529058097702,0.598
2190,1.032,0.3673,8.938826664214902,0.779
2220,1.0,0.8504,8.952476640638269,0.752
2250,1.0,0.6361,8.977095799628374,0.763
2280,1.0,1.0,8.968082678612179,0.745
2310,1.0,1.0,8.956745168539713,0.77
2340,1.0,1.0,8.963244848803258,0.758
2370,1.0,1.0,8.978370173281677,0.761
2400,1.0,0.573,8.987525318184753,0.782
2430,1.0,0.8369,8.98780819170891,0.753
2460,1.0,0.8743,8.992334305099023,0.743
2490,1.001,0.3144,8.995830248260704,0.633
2520,1.0,1.0,8.98934523433701,0.726
2550,1.0,1.0,8.988771068716106,0.804
2580,1.0,1.0,8.995695109004517,0.809
2610,1.0,1.0,8.990151542168052,0.652
2640,1.0,1.0,8.981649792145491,0.68
2670,1.0,1.0,8.95696666501489,0.65
2700,1.0,1.0,8.927961362667945,0.705
2730,1.001,1.0,8.91904852976572,0.659
2760,0.999,1.0,8.919047542704819,0.647
2790,1.0,1.0,8.936801922309003,0.59
2820,1.0,1.0,8.948260059839471,0.639
2850,1.032,1.0,8.938011941613256,0.534
2880,1.0,1.0,9.17510363179217,0.616
2910,1.0,1.0,9.715270910013816,0.468
2940,1.0,1.0,10.292759778594688,0.614
2970,1.0,1.0,10.948975790415973,0.541
3000,1.0,1.0,11.615756885549446,0.56
3030,1.0,1.0,12.246748097522316,0.569
3060,1.0,1.0,12.873088008519206,0.443
3090,1.0,1.0,13.54769430375474,0.661
3120,1.0,1.0,14.05268108964434,0.554
3150,1.0,1.0,14.652154508913002,0.585
3180,1.005,1.0,15.233689063498945,0.54
3210,1.031,1.0,15.834247804054032,0.591
3240,1.032,1.0,16.505160553303355,0.583
3270,1.0,1.0,16.981177274590777,0.599
3300,1.0,1.0,17.578705560516866,0.567
3330,1.0,0.675,18.198844374548187,0.476
3360,1.0,0.6501,18.70600536302993,0.633
3390,1.0,0.4031,19.001623054696793,0.586
3420,1.0,0.1942,19.13422443140975,0.564
3450,1.0,1.0,19.161972233975504,0.594
3480,1.0,1.0,19.176341070046306,0.56
3510,1.0,0.9528,19.186314076887996,0.589
3540,1.0,1.0,19.19423114769029,0.676
3570,1.0,1.0,19.192858764909275,0.641
3600,1.0,1.0,19.193009988455245,0.545
3630,1.0,1.0,19.190002673103848,0.611
3660,1.0,1.0,19.193219354950898,0.665
3690,1.0,1.0,19.2005746865986,0.721
3720,1.0,1.0,19.196556101140914,0.627
3750,1.0,1.0,19.197118782473694,0.554
3780,1.0,1.0,19.18588565702494,0.584
3810,1.0,1.0,19.17505858923819,0.633
3840,1.0,1.0,19.169247287728936,0.475
3870,1.0,1.0,19.1742713773983,0.659
3900,1.0,0.6568,19.18462612017744,0.684
3930,1.0,1.0,19.198668578148357,0.587
3960,1.0,1.0,19.21260524457803,0.673
3990,1.0,0.9161,19.200101707346064,0.677
4020,1.0,1.0,19.19523828302532,0.695
4050,1.004,1.0,19.204131339054825,0.713
4080,0.996,1.0,19.194407003916623,0.715
4110,1.0,0.6631,19.172268522043836,0.697
4140,1.0,1.0,19.137698804781124,0.646
4170,1.0,1.0,19.113333589481684,0.663
4200,1.0,1.0,19.042507715882735,0.691
4230,1.0,0.3426,19.056064189219256,0.721
4260,1.0,1.0,19.063993662240435,0.703
4290,1.0,1.0,19.000063565795514,0.715
4320,1.0,1.0,18.86584790149496,0.622
4350,1.0,1.0,18.408924075518897,0.55
4380,1.0,1.0,17.795823361710134,0.686
4410,1.0,1.0,17.196042195744454,0.674
4440,0.999,1.0,16.36921558696754,0.642
4470,1.0,0.7018,15.491005250145195,0.686
4500,1.0,0.5974,14.527253678810213,0.722
4530,1.0,0.6894,13.567184685231256,0.718
4560,1.0,0.6721,12.918546045200559,0.689
4590,1.0,0.4648,12.916911680536417,0.685
4620,1.0,1.0,12.923288743143319,0.713
4650,1.0,1.0,12.944741987546523,0.708
4680,1.0,1.0,12.953160392778743,0.675
4710,1.0,1.0,12.953968283555598,0.687
4740,1.0,1.0,12.742557895049758,0.639
4770,1.0,0.883,12.020108690784612,0.646
4800,1.0,1.0,11.017764809299125,0.688
4830,1.0,1.0,10.032687811760896,0.633
4860,1.0,1.0,9.062233165213458,0.698
4890,1.0,1.0,8.200097638112284,0.69
4920,1.0,1.0,7.224061740464365,0.614
4950,1.0,1.0,6.139210504224935,0.602
4980,1.0,1.0,5.042297480965147,0.601
5010,1.0,1.0,3.9862714039901457,0.645
5040,1.0,1.0,2.853077608119933,0.577
5070,1.0,1.0,1.7722644857433647,0.413
